No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1513,0.6438,10.25144,8.68741,1685.99,0.847968,-5.94022,-9.169066667,0.283685958,0.252461339,8201.51937,16494.94594,0.504692244,1.016298822,8.054800398
1514,0.6556,10.61507,9.35673,1962.02,0.815931,-5.577803333,-8.83764,0.279620229,0.249279326,9373.30541,18723.49771,0.507723431,1.00278914,7.900278607
1515,0.626,9.43184,6.31093,1303.2,1.23596,-4.461013333,-7.193983333,0.227843413,0.202470148,18667.16706,36500.85208,0.209798535,0.340629393,6.494409372
1516,0.7408,10.26084,8.70015,3060.48,0.680562,-3.89627,-6.19129,0.228773315,0.174634897,2568.353907,5406.433893,0.329680163,0.300886561,3.650648049
1517,0.531,7.45353,3.87905,1009.28,1.25003,-6.146853333,-8.227763333,0.259151661,0.222529877,15470.26868,30635.35284,0.347600709,0.589282018,6.781137124
1518,0.6086,7.32559,6.86607,1745.4,0.950432,-4.653143333,-6.77008,0.294549373,0.244682687,5185.531287,10512.71644,0.877982083,1.651817098,7.525516204
1519,0.601,9.74551,8.51622,1200.93,1.10155,-3.393976667,-5.193073333,0.206953896,0.168257117,15394.01955,30549.50857,0.209115868,0.24463947,4.67950084
1520,0.56,5.25614,3.66279,557.05,1.73248,-4.12591,-6.303256667,0.212323326,0.184698289,10908.56198,21625.19583,0.198845023,0.336366135,6.76639787
1521,0.6226,7.0311,5.28936,1815.68,1.03834,-4.084143333,-6.262793333,0.263750493,0.221072126,6841.032211,13885.17743,0.54700256,0.954706323,6.981366398
1522,0.3984,4.58291,3.32631,208.224,2.55927,-5.16097,-7.9559,0.215412089,0.201381545,9218.511635,18437.73545,0.141734102,0.358476183,10.11686469
1528,0.618,7.57594,7.11735,1816.86,0.939011,-4.63469,-6.725106667,0.29294689,0.242392034,4043.474634,8347.180274,0.901640609,1.647856491,7.31048036
1529,0.5024,6.18029,3.5251,648.47,1.28701,-5.212686667,-8.314243333,0.26969464,0.241681456,12478.78882,25136.49401,0.354910273,0.909883851,10.25480433
1531,0.4902,4.96443,3.71594,438.633,1.51785,-3.31799,-5.208826667,0.146092824,0.124550691,10374.51474,20490.55614,0.064783721,0.073188356,4.518934996
1532,0.5974,6.30224,4.66761,1267.5,1.13784,-4.42591,-6.812366667,0.279620229,0.240009509,8794.377849,17600.78712,0.627812584,1.402717968,8.9371765
1534,0.3638,4.15596,3.67859,110.238,2.74932,-7.619236667,-10.55083,0.32766418,0.281706812,5786.003406,12310.93465,0.383592309,0.949827877,9.904556006
1539,0.4812,6.49751,6.10381,629.804,1.26256,-4.10938,-6.404853333,0.2361571,0.206945778,21709.69786,42683.99207,0.249732263,0.491846663,7.877983519
1542,0.6332,7.65126,6.54995,1425.33,1.18404,-7.022246667,-7.72253,0.293914434,0.245752633,9931.675833,19933.84562,0.851031589,1.608694939,7.561152652
1543,0.5546,7.79579,7.10452,893.491,1.16703,-3.367383333,-5.08953,0.211358844,0.173089746,13260.0064,26196.47977,0.229311041,0.293597529,5.121384958
1544,0.6242,10.7868,4.60195,1692.73,1.13712,-9.580073333,-14.8931,0.460855283,0.451878618,15981.83854,31766.81428,0.764572405,2.717305232,14.21607798
